"County","State","FIPS","Total Vote","Clinton","Trump"
"Ashland","OH","39005",24737,5740,17493
"Ashtabula","OH","39007",41180,15577,23318
"Athens","OH","39009",29709,16370,11354
"Auglaize","OH","39011",23794,3980,18658
"Belmont","OH","39013",31331,8785,21108
"Brown","OH","39015",19682,4353,14573
"Butler","OH","39017",174994,58642,106976
"Carroll","OH","39019",13148,3154,9254
"Champaign","OH","39021",18243,4594,12631
"Clark","OH","39023",61893,23328,35205
"Clermont","OH","39025",99972,26715,67518
"Clinton","OH","39027",18766,4066,13838
"Columbiana","OH","39029",46492,12432,31676
"Coshocton","OH","39031",15659,4013,10785
"Crawford","OH","39033",19329,4625,13611
"Cuyahoga","OH","39035",608873,398271,184211
"Darke","OH","39037",25601,4470,20012
"Defiance","OH","39039",18349,5368,11688
"Delaware","OH","39041",105639,40872,57568
"Erie","OH","39043",37862,16057,19648
"Fairfield","OH","39045",73554,24881,44314
"Fayette","OH","39047",11232,2739,7995
"Franklin","OH","39049",587524,351198,199331
"Fulton","OH","39051",21353,6069,13709
"Gallia","OH","39053",13004,2628,9822
"Geauga","OH","39055",50662,17569,30227
"Greene","OH","39057",82937,28943,48540
"Guernsey","OH","39059",16647,4359,11445
"Hamilton","OH","39061",409109,215719,173665
"Hancock","OH","39063",36234,9609,24183
"Hardin","OH","39065",12354,2920,8717
"Harrison","OH","39067",7105,1688,5098
"Henry","OH","39069",14053,3756,9301
"Highland","OH","39071",18588,3773,14020
"Hocking","OH","39073",12929,3775,8497
"Holmes","OH","39075",11106,1788,8720
"Huron","OH","39077",25002,7192,16226
"Jackson","OH","39079",13776,3226,9949
"Jefferson","OH","39081",32411,9675,21117
"Knox","OH","39083",28927,8171,19131
"Lake","OH","39085",117190,46397,64255
"Lawrence","OH","39087",26789,6974,18689
"Licking","OH","39089",83624,27376,51241
"Logan","OH","39091",21712,4647,15957
"Lorain","OH","39093",140562,66949,66818
